mes_num,sen_mes,cos_mes,lag_1,pct_change,rolling_3,diff_1,tendencia,entidad_enc,real,pred,mes,entidad,error
2,0.8660254037844386,0.5000000000000001,6491.0,-0.027114466183946972,6156.333333333333,-176.0,4,2409.714875730664,6315,6368.346621753243,Febrero,Ciudad de México,53.3466217532432
10,-0.8660254037844386,0.5000000000000001,1981.0,-0.001009591115598174,1969.6666666666667,-2.0,10,1590.4380599469032,1979,1919.4303167388166,Octubre,Querétaro,-59.5696832611834
1,0.49999999999999994,0.8660254037844387,668.0,0.48652694610778435,812.6666666666666,325.0,3,1300.425586617659,993,974.9307447691198,Enero,Oaxaca,-18.06925523088023
11,-0.5000000000000004,0.8660254037844384,793.0,0.13871374527112224,923.6666666666666,110.0,9,1306.3677544879645,903,1011.752160714286,Noviembre,Nuevo León,108.75216071428599
6,1.2246467991473532e-16,-1.0,1502.0,0.012649800266311573,1493.3333333333333,19.0,6,1478.3513869425597,1521,1502.8885861638366,Junio,Veracruz de Ignacio de la Llave,-18.111413836163365
2,0.8660254037844386,0.5000000000000001,2829.0,-0.07034287734181688,2658.6666666666665,-199.0,4,1754.5999035511484,2630,2635.035906746033,Febrero,Guanajuato,5.035906746033106
5,0.49999999999999994,-0.8660254037844387,559.0,-0.07871198568872984,533.3333333333334,-44.0,8,1227.2517975570286,515,524.820609126984,Mayo,Zacatecas,9.820609126983982
1,0.49999999999999994,0.8660254037844387,841.0,0.16171224732461353,938.3333333333334,136.0,3,1338.764502505705,977,1034.6364007936509,Enero,Aguascalientes,57.636400793650864
6,1.2246467991473532e-16,-1.0,2711.0,0.012541497602360785,2672.3333333333335,34.0,6,1798.0184517808093,2745,2750.0001316738826,Junio,Baja California,5.000131673882606
11,-0.5000000000000004,0.8660254037844384,430.0,0.4883720930232558,542.0,210.0,9,1210.685717894838,640,554.3160317599065,Noviembre,Guerrero,-85.68396824009346
5,0.49999999999999994,-0.8660254037844387,567.0,-0.23104056437389775,489.3333333333333,-131.0,8,1179.3957541865116,436,461.84047023809524,Mayo,Colima,25.840470238095236
9,-1.0,-1.8369701987210297e-16,3654.0,-0.10207991242474002,3513.0,-373.0,11,2025.1280793072265,3281,3508.81039484127,Septiembre,Jalisco,227.81039484126995
1,0.49999999999999994,0.8660254037844387,1083.0,0.15143120960295486,1200.3333333333333,164.0,3,1401.439090806395,1247,1295.5440856782106,Enero,Chihuahua,48.54408567821065
7,-0.4999999999999997,-0.8660254037844388,822.0,-0.09124087591240881,854.0,-75.0,5,1300.425586617659,747,817.4370606060606,Julio,Oaxaca,70.43706060606064
4,0.8660254037844387,-0.4999999999999998,0.0,0.0,0.0,0.0,0,1231.9691066735654,521,467.3734642857142,Abril,Coahuila de Zaragoza,-53.62653571428581
